Using FFT length 65536
Using random initial phases in range [-pi, pi]
Removing 279731 of 524289 phases from optimization, 244558 phases remaining
LF cutoff freq: 10.0Hz, HF cutoff freq: 22400.0Hz
Optimization Indices: [110;244667] ->  [10.07080078125;22399.932861328125]Hz
Building 287 filters... Done.
Starting optimization:
Sample Rate: 96000Hz
Signal length 10.922666666666666s (Number of Samples: 1048576)
Num Frequencies: 524289
Num Filters: 287
Iteration 337, Objective: 0.024976dB, Best: 0.024976dB
Iteration 338, Objective: 0.024965dB, Best: 0.024965dB
Iteration 339, Objective: 0.024950dB, Best: 0.024950dB
Iteration 340, Objective: 0.024930dB, Best: 0.024930dB
Iteration 341, Objective: 0.024915dB, Best: 0.024915dB
Iteration 342, Objective: 0.024907dB, Best: 0.024907dB
Iteration 343, Objective: 0.024887dB, Best: 0.024887dB
Iteration 344, Objective: 0.024871dB, Best: 0.024871dB
Iteration 345, Objective: 0.024856dB, Best: 0.024856dB
Iteration 346, Objective: 0.024818dB, Best: 0.024818dB
Iteration 347, Objective: 0.024790dB, Best: 0.024790dB
Iteration 348, Objective: 0.024767dB, Best: 0.024767dB
Iteration 349, Objective: 0.024744dB, Best: 0.024744dB
Iteration 350, Objective: 0.024683dB, Best: 0.024683dB
Iteration 351, Objective: 0.024654dB, Best: 0.024654dB
Iteration 352, Objective: 0.024629dB, Best: 0.024629dB
Iteration 353, Objective: 0.024616dB, Best: 0.024616dB
Iteration 354, Objective: 0.024569dB, Best: 0.024569dB
Iteration 355, Objective: 0.024514dB, Best: 0.024514dB
Iteration 356, Objective: 0.024474dB, Best: 0.024474dB
Iteration 357, Objective: 0.024444dB, Best: 0.024444dB
Iteration 358, Objective: 0.024430dB, Best: 0.024430dB
Iteration 359, Objective: 0.024399dB, Best: 0.024399dB
Iteration 360, Objective: 0.024361dB, Best: 0.024361dB
Iteration 361, Objective: 0.024313dB, Best: 0.024313dB
Iteration 362, Objective: 0.024252dB, Best: 0.024252dB
Iteration 363, Objective: 0.024170dB, Best: 0.024170dB
Iteration 364, Objective: 0.023963dB, Best: 0.023963dB
Iteration 365, Objective: 0.023892dB, Best: 0.023892dB
Iteration 366, Objective: 0.023841dB, Best: 0.023841dB
Iteration 367, Objective: 0.023788dB, Best: 0.023788dB
Iteration 368, Objective: 0.023769dB, Best: 0.023769dB
Iteration 369, Objective: 0.023730dB, Best: 0.023730dB
Iteration 370, Objective: 0.023709dB, Best: 0.023709dB
Iteration 371, Objective: 0.023675dB, Best: 0.023675dB
Iteration 372, Objective: 0.023641dB, Best: 0.023641dB
Iteration 373, Objective: 0.023604dB, Best: 0.023604dB
Iteration 374, Objective: 0.023572dB, Best: 0.023572dB
Iteration 375, Objective: 0.023554dB, Best: 0.023554dB
Iteration 376, Objective: 0.023521dB, Best: 0.023521dB
Iteration 377, Objective: 0.023510dB, Best: 0.023510dB
Iteration 378, Objective: 0.023463dB, Best: 0.023463dB
Iteration 379, Objective: 0.023451dB, Best: 0.023451dB
Iteration 380, Objective: 0.023367dB, Best: 0.023367dB
Iteration 381, Objective: 0.023328dB, Best: 0.023328dB
Iteration 382, Objective: 0.023285dB, Best: 0.023285dB
Iteration 383, Objective: 0.023186dB, Best: 0.023186dB
Iteration 384, Objective: 0.023143dB, Best: 0.023143dB
Iteration 385, Objective: 0.023128dB, Best: 0.023128dB
Iteration 386, Objective: 0.023059dB, Best: 0.023059dB
Iteration 387, Objective: 0.023050dB, Best: 0.023050dB
Iteration 388, Objective: 0.023035dB, Best: 0.023035dB
Iteration 389, Objective: 0.023012dB, Best: 0.023012dB
Iteration 390, Objective: 0.022999dB, Best: 0.022999dB
Iteration 391, Objective: 0.022999dB, Best: 0.022999dB
Iteration 392, Objective: 0.022969dB, Best: 0.022969dB
Iteration 393, Objective: 0.022954dB, Best: 0.022954dB
Iteration 394, Objective: 0.022933dB, Best: 0.022933dB
